query,movie_title,relevance
The Lord of the Rings,Bad Cupid,
The Lord of the Rings,Secrets of Henry VIII's Palace: Hampton Court,
The Lord of the Rings,Henry VII: The Winter King,
The Lord of the Rings,The Lord of the Rings: The Return of the King,
The Lord of the Rings,The Day of the Lord,
The Lord of the Rings,NOVA: Death Dive to Saturn,
The Lord of the Rings,The Lord of the Rings: The Two Towers,
The Lord of the Rings,Shang-Chi and The Legend of The Ten Rings,
The Lord of the Rings,Monarch,
Avengers,Marvel Studios' Avengers: Infinity War,
Avengers,Marvel Studios' Avengers: Endgame,
Avengers,Marvel Studios' The Avengers,
Avengers,Sweet Revenge,
Avengers,Marvel Studios' Avengers: Age of Ultron,
Avengers,LEGO Marvel Super Heroes: Avengers Reassembled!,
A Silent Voice,The Aerial,
A Silent Voice,A Silent Voice,
A Silent Voice,Sounds of Silence,
A Silent Voice,Mother (Silent),
A Silent Voice,The Silent War,
A Silent Voice,Silent,
A Silent Voice,Jay and Silent Bob Strike Back,
A Silent Voice,Voice From the Stone,
A Silent Voice,Silence,
Inception,Scary Movie 5,
Inception,Baahubali: The Beginning (English Version),
Inception,Zubaan,
Inception,Good Game: The Beginning,
Inception,Inception,
Inception,Zodiac,
Inception,What We Started,
Inception,The Beginning of Life,
Inception,Zombieland,
Inception,Zoom,
Demon slayer,Incarnate,
Demon slayer,Attack Of The Demons,
Demon slayer,Stephen King's It,
Demon slayer,Hellboy,
Demon slayer,Shark Tale,
Demon slayer,Blue Demon: Death Night,
Demon slayer,InuYasha the Movie: Affections Touching Across Time,
Demon slayer,Demon Warriors,
Demon slayer,KL Zombi,
Demon slayer,Demonte Colony,
Demon slayer,The Neon Demon,
Demon slayer,Demonic,
A group of people trying to survive a zombie apocalypse,Night of the Living Dead,
A group of people trying to survive a zombie apocalypse,White Girl Apokalypse,
A group of people trying to survive a zombie apocalypse,Valentine DayZ,
A group of people trying to survive a zombie apocalypse,Zomblies,
A group of people trying to survive a zombie apocalypse,Bill Burr: I'm Sorry You Feel That Way,
A group of people trying to survive a zombie apocalypse,The Rezort,
A group of people trying to survive a zombie apocalypse,Zombie Massacre,
A group of people trying to survive a zombie apocalypse,Deadlocked,
A group of people trying to survive a zombie apocalypse,ZOMBOAT!,
A group of people trying to survive a zombie apocalypse,Berserkers,
A group of people trying to survive a zombie apocalypse,Ice,
A detective solving a complex murder mystery,The Legacy of the Bones,
A detective solving a complex murder mystery,Morti's Law,
A detective solving a complex murder mystery,True Crime,
A detective solving a complex murder mystery,Murder in Mind,
A detective solving a complex murder mystery,Handsome: A Netflix Mystery Movie,
A detective solving a complex murder mystery,Murder Mystery,
A detective solving a complex murder mystery,Spyder,
A detective solving a complex murder mystery,Track The Mystery,
A detective solving a complex murder mystery,Secrets of Scotland Yard,
A detective solving a complex murder mystery,Gemini,
A detective solving a complex murder mystery,Dark Crimes,
A detective solving a complex murder mystery,The Forest Killer,
A detective solving a complex murder mystery,Agatha and the Truth of Murder,
Escaping from a high-security prison,The Prison,
Escaping from a high-security prison,Maze,
Escaping from a high-security prison,Escape from Alcatraz,
Escaping from a high-security prison,Stepfather 2,
Escaping from a high-security prison,El Lute II: Tomorrow I'll be free,
Escaping from a high-security prison,Jail,
Escaping from a high-security prison,Advocate,
Escaping from a high-security prison,The Prisoner,
Escaping from a high-security prison,Survivors Guide to Prison,
Escaping from a high-security prison,Natascha Kampusch: The Whole Story,
A feel-good family comedy for the holidays,The Perfect Holiday,
A feel-good family comedy for the holidays,A Family Reunion Christmas,
A feel-good family comedy for the holidays,Lavell Crawford: Home for the Holidays,
A feel-good family comedy for the holidays,A Bad Moms Christmas,
A feel-good family comedy for the holidays,The Santa Clause 3: The Escape Clause,
A feel-good family comedy for the holidays,Home Sweet Home Alone,
A feel-good family comedy for the holidays,Home for the Holidays,
A feel-good family comedy for the holidays,10 Hours for Christmas,
A feel-good family comedy for the holidays,SURVIVING CHRISTMAS,
A feel-good family comedy for the holidays,Angela's Christmas Wish,
A feel-good family comedy for the holidays,Every Other Holiday,
A feel-good family comedy for the holidays,A Holiday Engagement,
An inspiring sports documentary about underdogs,The Short Game,
An inspiring sports documentary about underdogs,Free to Run,
An inspiring sports documentary about underdogs,Hope: One in a Billion,
An inspiring sports documentary about underdogs,Nic Hamilton's Racing Dream,
An inspiring sports documentary about underdogs,In Search of Greatness,
An inspiring sports documentary about underdogs,The Battered Bastards of Baseball,
An inspiring sports documentary about underdogs,More Than a Game,
An inspiring sports documentary about underdogs,Williams,
An inspiring sports documentary about underdogs,At All Costs,
An inspiring sports documentary about underdogs,Underdogs,
An inspiring sports documentary about underdogs,"McFarland, USA",
An inspiring sports documentary about underdogs,Backstory,
An inspiring sports documentary about underdogs,Greater,
Movies directed by Christopher Nolan,Carrington,
Movies directed by Christopher Nolan,Movie 43,
Movies directed by Christopher Nolan,Casting JonBenet,
Movies directed by Christopher Nolan,Inception,
Movies directed by Christopher Nolan,Professor Mack,
Movies directed by Christopher Nolan,Malcolm & Marie,
Movies directed by Christopher Nolan,Before I'm Dead,
Movies directed by Christopher Nolan,Jim Gaffigan: King Baby,
Movies directed by Christopher Nolan,Mascots,
Movies directed by Christopher Nolan,Scandalize My Name,
Starring Leonardo DiCaprio and Tom Hardy,The Voyeurs,
Starring Leonardo DiCaprio and Tom Hardy,Scenes of a Sexual Nature,
Starring Leonardo DiCaprio and Tom Hardy,The Entertainer,
Starring Leonardo DiCaprio and Tom Hardy,The Hardy Boys,
Starring Leonardo DiCaprio and Tom Hardy,Fairhaven,
Starring Leonardo DiCaprio and Tom Hardy,"Lon Chaney in The Unholy Three - The Original 1925 Classic, Directed by Tod Browning",
Starring Leonardo DiCaprio and Tom Hardy,The Glass House,
Starring Leonardo DiCaprio and Tom Hardy,Flying Deuces,
Starring Leonardo DiCaprio and Tom Hardy,Merry-Go-Round,
Starring Leonardo DiCaprio and Tom Hardy,Before the Flood,
Starring Leonardo DiCaprio and Tom Hardy,Revolutionary Road,
Action movies with strong female lead characters,High & Low The Movie,
Action movies with strong female lead characters,The Women Who Kill Lions,
Action movies with strong female lead characters,The Mexican,
Action movies with strong female lead characters,Engada Iruthinga Ivvalavu Naala,
Action movies with strong female lead characters,The Bag Girls,
Action movies with strong female lead characters,Thiruttu VCD,
Action movies with strong female lead characters,Hire a Woman,
Action movies with strong female lead characters,Lady Bloodfight,
Action movies with strong female lead characters,Rag Doll,
Action movies with strong female lead characters,A Dangerous Woman,
Action movies with strong female lead characters,Female Agents,
Action movies with strong female lead characters,Chidambaram Railway Gate,
Korean romantic comedy dramas,Humpty Sharma Ki Dulhania,
Korean romantic comedy dramas,Operation Chromite,
Korean romantic comedy dramas,Steel Rain,
Korean romantic comedy dramas,Yoo Byung Jae: Discomfort Zone,
Korean romantic comedy dramas,Kural Kumaran | குரல் குமரன் | Mahendran K | Comedy | Romantic,
Korean romantic comedy dramas,Lovesong,
Korean romantic comedy dramas,Lee Su-geun: The Sense Coach,
Korean romantic comedy dramas,The Age of Shadows,
Korean romantic comedy dramas,Pandora,
Korean romantic comedy dramas,What the Jatt!!,
Korean romantic comedy dramas,Kims of Comedy,
Korean romantic comedy dramas,Prince Charming,
Korean romantic comedy dramas,Seoul Searching,
Magic school and wizards,Upside-Down Magic,
Magic school and wizards,(Sub) Fairy Tail the Movie: Phoenix Priestess,
Magic school and wizards,Harvie and the Magic Museum,
Magic school and wizards,Barbie: Princess Charm School,
Magic school and wizards,Secret Magic Control Agency,
Magic school and wizards,Dragonkala Ka Rahasya,
Magic school and wizards,The Magic School Bus Rides Again Kids In Space,
Magic school and wizards,The Magic School Bus Rides Again The Frizz Connection,
Magic school and wizards,Wizards of Waverly Place: The Movie,
Magic school and wizards,Mini Witch,
Magic school and wizards,Halloweentown High,
Magic school and wizards,Four Enchanted Sisters,
Magic school and wizards,Magic Magic,
Superheroes fighting each other,We Can Be Heroes,
Superheroes fighting each other,Avengers: Infinity War,
Superheroes fighting each other,Bhavesh Joshi Superhero,
Superheroes fighting each other,Sanjay's Super Team,
Superheroes fighting each other,Antariksha Ke Rakhwale,
Superheroes fighting each other,Marvel Studios' Black Panther,
Superheroes fighting each other,Planet Hulk,
Superheroes fighting each other,Marvel's Behind the Mask,
Superheroes fighting each other,The Fighter,
Superheroes fighting each other,Lego DC Comics: Batman Be-Leaguered,
Superheroes fighting each other,Hulk Vs.,
Superheroes fighting each other,How I Became a Superhero,
Superheroes fighting each other,Gamera: Super Monster,
A Japanese anime about high school teenagers,(Dub) Akira,
A Japanese anime about high school teenagers,Gang,
A Japanese anime about high school teenagers,Tenkai Knights - Rise of the Knights,
A Japanese anime about high school teenagers,K-on! the movie,
A Japanese anime about high school teenagers,Classmates Minus,
A Japanese anime about high school teenagers,(Sub) Akira,
A Japanese anime about high school teenagers,Sound! Euphonium: The Movie - Welcome To The Kitauji High School Concert Band,
A Japanese anime about high school teenagers,Girls und Panzer der Film,
A Japanese anime about high school teenagers,Flavors of Youth: International Version,
A Japanese anime about high school teenagers,Counterfeiting in Suburbia,
A Japanese anime about high school teenagers,RiffTrax Presents High School Hero,
An animated 3D cartoon movie for little kids,Morphle - We Love Animals & More Magical Kids Cartoons,
An animated 3D cartoon movie for little kids,Gecko's Garage Vehicles - Cars Cartoon for Kids,
An animated 3D cartoon movie for little kids,Five Little Ducks Nursery Rhymes for Babies in Indonesian,
An animated 3D cartoon movie for little kids,Little Baby Bus - The Giant Ice Cream & More Cartoons for Kids,
An animated 3D cartoon movie for little kids,Masameer - The Movie,
An animated 3D cartoon movie for little kids,Morphle - Fairytale Adventures & More Cartoons for Kids,
An animated 3D cartoon movie for little kids,Little Baby Bus - Superhero Red Bus & More Kids Cartoons,
An animated 3D cartoon movie for little kids,Your favorite cartoon cupcakes - Part 2,
An animated 3D cartoon movie for little kids,Morphle - Magical Cartoons & More Educational Videos for Kids,
An animated 3D cartoon movie for little kids,The Orphle Bandits & More Kids Cartoons - Morphle,
An animated 3D cartoon movie for little kids,Morphle - My Magical Storytime & More Cartoons for Kids,
An animated 3D cartoon movie for little kids,Gecko's Garage - Trucks Cartoon for Kids,
An animated 3D cartoon movie for little kids,Gecko's Garage 3D - Gecko's Great Adventures,
An animated 3D cartoon movie for little kids,Cartoon Nursery Rhymes by Little Baby Bum,
A dark fantasy anime with demons and sword fighting,Inuyasha the Movie - La spada del dominatore del mondo,
A dark fantasy anime with demons and sword fighting,(Sub) Fairy Tail the Movie: Phoenix Priestess,
A dark fantasy anime with demons and sword fighting,Attack Of The Demons,
A dark fantasy anime with demons and sword fighting,Hellboy,
A dark fantasy anime with demons and sword fighting,"Crouching Tiger, Hidden Dragon: Sword of Destiny",
A dark fantasy anime with demons and sword fighting,Demon Warriors,
A dark fantasy anime with demons and sword fighting,Trese After Dark,
A dark fantasy anime with demons and sword fighting,The Witcher: Nightmare of the Wolf,
A dark fantasy anime with demons and sword fighting,Dragon Quest Your Story,
A dark fantasy anime with demons and sword fighting,Vic the Viking and the Magic Sword,
A dark fantasy anime with demons and sword fighting,InuYasha the Movie 3: Swords of an Honorable Ruler,
A dark fantasy anime with demons and sword fighting,Night of the Demons,
A dark fantasy anime with demons and sword fighting,Monster Hunter: Legends of the Guild,
Anime,Gintama,
Anime,Pokémon the Movie 2000,
Anime,(Dub) Akira,
Anime,Project A-ko 2: Plot of the Daitokuji Financial Group,
Anime,Sturgill Simpson Presents Sound & Fury,
Anime,HALO Legends,
Anime,Trese After Dark,
Anime,GANTZ:O,
Anime,K-on! the movie,
Anime,Pokémon 3: The Movie,
Anime,(Sub) Akira,
Anime,Enter the Anime,
Anime,Pokémon The Movie: Volcanion and the Mechanical Marvel,
